Fecha Nacimiento;Nivel Educativo;Completo Nivel Educativo;Idioma;
1987-12-22;Primaria;Completó;Inglés;
1987-12-22;Secundaria;Completó;Inglés;
1974-10-01;Primaria;Completó;Inglés;
1974-10-01;Secundaria;Incompleto;Inglés;
1982-02-25;Secundaria;Completó;Francés;
1982-02-25;Terciaria;Incompleto;Francés;
1982-02-25;Secundaria;Completó;Inglés;
1982-02-25;Terciaria;Incompleto;Inglés;
1967-08-18;Terciaria;Completó;Inglés;
1967-08-18;Secundaria;Completó;Inglés;
1981-12-22;Primaria;Completó;Inglés;
1981-12-22;Secundaria;Completó;Inglés;
1986-04-04;Secundaria;Incompleto;Inglés;
1986-04-04;Primaria;Completó;Inglés;
1986-04-04;Secundaria;Incompleto;Portugues;
1986-04-04;Primaria;Completó;Portugues;
1997-01-01;Secundaria;Completó;Inglés;
1984-09-10;Secundaria;Completó;Inglés;
1984-09-10;Terciaria;Incompleto;Inglés;
1984-09-10;Terciaria;Incompleto;Inglés;
1984-09-10;Primaria;Completó;Inglés;
1984-09-10;Secundaria;Completó;Portugues;
1984-09-10;Terciaria;Incompleto;Portugues;
1984-09-10;Terciaria;Incompleto;Portugues;
1984-09-10;Primaria;Completó;Portugues;
1989-11-14;Terciaria;En Curso;Inglés;
1989-11-14;Secundaria;Completó;Inglés;
1986-07-07;Terciaria;Incompleto;Inglés;
1986-07-07;Terciaria;Incompleto;Portugues;
1973-10-04;Secundaria;Completó;Francés;
1973-10-04;Terciaria;Completó;Francés;
1996-02-04;Primaria;Completó;Inglés;
1996-02-04;Secundaria;Completó;Inglés;
1996-02-04;Universitaria;Incompleto;Inglés;
1975-12-29;Secundaria;Completó;Inglés;
1975-12-29;Universitaria;Completó;Inglés;
1975-12-29;Secundaria;Completó;Italiano;
1975-12-29;Universitaria;Completó;Italiano;
1996-03-19;Secundaria;Incompleto;Inglés;
1975-08-26;Primaria;Completó;Inglés;
1975-08-26;Secundaria;Incompleto;Inglés;
1992-11-10;Universitaria;Incompleto;Inglés;
1992-11-10;Primaria;Completó;Inglés;
1992-11-10;Secundaria;Completó;Inglés;
1992-11-10;Universitaria;Incompleto;Francés;
1992-11-10;Primaria;Completó;Francés;
1992-11-10;Secundaria;Completó;Francés;
1997-06-11;Primaria;Completó;Italiano;
1997-06-11;Secundaria;Incompleto;Italiano;
1994-07-29;Primaria;Completó;Inglés;
1994-07-29;Secundaria;Completó;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1994-07-29;Terciaria;Incompleto;Inglés;
1997-01-08;Secundaria;Completó;Inglés;
1993-09-15;Universitaria;Completó;Inglés;
1981-03-10;Secundaria;Completó;Inglés;
1971-09-12;Terciaria;Completó;Arabe;
1990-01-18;Secundaria;Completó;Inglés;
1990-01-18;Terciaria;Completó;Inglés;
1990-01-18;Secundaria;Completó;Portugues;
1990-01-18;Terciaria;Completó;Portugues;
1979-11-24;Secundaria;Completó;Inglés;
1992-12-27;Primaria;Completó;Inglés;
